Rank,2009 Rank,Company and Year-end,Profit ($000),% Chg,Revenue ($000),% Chg,Assets ($000),% Chg,Mkt Cap ($-mil),Employees,Industry,Rank Change,Profit Margin,Revenue per Employee,Profit Per Employee,Return on Assets
55,27,George Weston Ltd.(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=WN-T,452000,-56,32030000,0,20854000,4,10868,155000,Food Stores,-28,0,206645,2916,0
10,13,Imperial Oil(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=IMO-T,2210000,40,25092000,17,20580000,18,34396,4970,Integrated Oils,3,0,5048692,444668,0
18,50,Brookfield Office Properties(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=BPO-T,1552000,805,2578000,462,20420000,32,8828,2200,Property Management & Investment,32,1,1171818,705455,0
31,28,Telus Corp.(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=T-T,1034000,4,9784000,1,19599000,2,14661,34800,Telephone Utilities,-3,0,281149,29713,0
21,15,Rogers Communications(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=RCI.B-T,1528000,3,12190000,3,17330000,2,19221,27971,Cable,-6,0,435809,54628,0
39,53,Kinross Gold(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=K-T,771600,149,3349300,36,16397100,105,21431,5500,Precious Metals,14,0,608964,140291,0
43,34,Loblaw Companies(Ja11)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=L-T,681000,4,31005000,1,15919000,6,11327,136000,Food Stores,-9,0,227978,5007,0
12,24,Potash Corp. of Saskatchewan(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=POT-T,1806200,84,6883200,58,15619300,21,43921,5400,Chemicals,12,0,1274667,334481,0
122,979,E-L Financial Corp.(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=ELF-T,144693,178,2725184,27,13974077,8,1999,2189,Insurance - Property & Casualty,857,0,1244945,66100,0
33,994,Magna International(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=MG-T,973000,297,24157000,39,13898000,13,12592,96600,Automotive,961,0,250072,10072,0
44,36,Canadian Pacific Railway Ltd.(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=CP-T,650700,18,5013300,13,13675900,-3,10934,13619,Transportation,-8,0,368111,47779,0
90,969,Penn West Petroleum(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=PWT-T,226000,257,3139000,8,13368000,-4,10959,2076,Oil and Gas Producers,879,0,1512042,108863,0
73,61,Fortis Inc.(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=FTS-T,313000,12,3664000,1,12903000,6,5926,6459,Electrical Utilities,-12,0,567270,48460,0
