Rank,2009 Rank,Company and Year-end,Profit ($000),% Chg,Revenue ($000),% Chg,Assets ($000),% Chg,Mkt Cap ($-mil),Employees,Industry,Rank Change,Profit Margin,Revenue per Employee,Profit Per Employee,Return on Assets
53,73,Yamana Gold(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=YRI-T,451444,134,1721312,44,10299241,6,9467,4513,Precious Metals,20,26.23%,381,411.92,100,031.91,4.38%
78,60,ATCO Ltd.(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=ACO.X-T,292900,3,3483700,10,10239800,3,3426,7700,Management & Diversified,-18,8.41%,452,428.57,38,038.96,2.86%
48,40,Shaw Communications(Au10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=SJR.B-T,532732,-1,3858946,9,10153965,14,9473,13000,Cable,-8,13.81%,296,842.00,40,979.38,5.25%
92,78,TransAlta Corp.(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=TA-T,219000,21,2846000,2,9893000,1,4659,2389,Electrical Utilities,-14,7.70%,1,191,293.43,91,670.15,2.21%
58,44,Canadian Utilities(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=CU-T,435000,-7,2716200,2,9415300,4,6851,5731,Electrical Utilities,-14,16.02%,473,948.70,75,902.98,4.62%
83,75,Yellow Media(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=YLO-T,274035,31,1679860,2,9300248,4,3199,4600,Publishing & Printing,-8,16.31%,365,186.96,59,572.83,2.95%
41,38,IGM Financial(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=IGM-T,735585,32,2622528,13,8892563,3,11287,3343,Investment Companies and Funds,-3,28.05%,784,483.40,220,037.39,8.27%
89,63,Quebecor Inc.(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=QBR.B-T,230100,-17,4046200,5,8793000,5,2420,16360,Publishing & Printing,-26,5.69%,247,322.74,14,064.79,2.62%
54,54,Canadian Tire Corp.(Ja11)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=CTC.A-T,453600,35,8988700,3,8764100,-1,5554,56900,Specialty Stores,0,5.05%,157,973.64,7,971.88,5.18%
57,51,SNC-Lavalin Group(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=SNC-T,437014,22,6327767,3,8603223,19,9027,21948,Contractors,-6,6.91%,288,307.23,19,911.34,5.08%
309,887,Crescent Point Energy Trust(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=CPG-T,20021,164,1490358,67,7866102,45,11795,275,Oil and Gas Producers,578,1.34%,5,419,483.64,72,803.64,0.25%
105,91,Home Capital Group(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=HCG-T,180944,25,533937,9,7712239,5,1794,560,Finance and Leasing,-14,33.89%,953,458.93,323,114.29,2.35%
49,25,Cameco Corp.(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=CCO-T,514749,-53,2142828,-17,7671368,4,15892,3300,Integrated Mines,-24,24.02%,649,341.82,155,984.55,6.71%
47,37,Shoppers Drug Mart(Ja11)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=SC-T,590743,1,10376067,4,7122210,4,8596,52160,Specialty Stores,-10,5.69%,198,927.66,11,325.59,8.29%
38,46,Canadian Oil Sands(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=COS-T,886000,105,3521000,20,7016000,1,12815,30,Oil and Gas Producers,8,25.16%,117,366,666.67,29,533,333.33,12.63%
74,107,RioCan REIT(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=REI.UN-T,303000,166,890000,17,6859000,17,5716,598,Property Management & Investment,33,34.04%,1,488,294.31,506,688.96,4.42%
82,67,CU Inc.(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=CIU.PR.A-T,277200,6,1529100,8,6636900,1,null,4319,Gas Utilities,-15,18.13%,354,040.29,64,181.52,4.18%
144,89,Petrobank Energy and Resources(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=PBG-T,115785,-20,1028541,67,6402586,11,2682,76,Oil and Gas Producers,-55,11.26%,13,533,434.21,1,523,486.84,1.81%
100,79,Emera Inc.(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=EMA-T,194200,11,1593300,4,6329100,20,3593,2300,Management & Diversified,-21,12.19%,692,739.13,84,434.78,3.07%
75,66,Empire Company(My10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=EMP.A-T,301900,14,15547200,3,6248300,6,3627,90000,Food Stores,-9,1.94%,172,746.67,3,354.44,4.83%
121,110,Viterra Inc.(Oc10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=VT-T,145272,28,8271687,24,6116882,-5,3631,4067,Agriculture,-11,1.76%,2,033,854.68,35,719.70,2.37%
130,136,Enerplus Corp.(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=ERF-T,127112,43,1352846,0,5835172,-1,5479,709,Oil and Gas Producers,6,9.40%,1,908,104.37,179,283.50,2.18%
210,197,PetroBakken Energy(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=PBN-T,47985,11,1019671,83,5768795,29,4063,300,Oil and Gas Producers,-13,4.71%,3,398,903.33,159,950.00,0.83%
60,55,Sino-Forest Corp.(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=TRE-T,395426,38,1932658,55,5729033,45,5723,3949,Forestry,-5,20.46%,489,404.41,100,133.20,6.90%
95,80,Union Gas(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=UNG.PR.C-T,206000,18,1830000,-9,5585000,3,null,2207,Gas Utilities,-15,11.26%,829,179.88,93,339.37,3.69%
111,128,H&R REIT(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=HR.UN-T,170438,78,616971,0,5546975,3,2839,7,Property Management & Investment,17,27.62%,88,138,714.29,24,348,285.71,3.07%
67,125,Agnico-Eagle Mines(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=AEM-T,332116,284,1517400,137,5500351,30,12924,4500,Precious Metals,58,21.89%,337,200.00,73,803.56,6.04%
66,49,Genworth MI Canada(De10)|http://www.theglobeandmail.com/globe-investor/markets/stocks/summary/?q=MIC-T,348726,-8,808490,-11,5398201,4,2891,267,Insurance - Property & Casualty,-17,43.13%,3,028,052.43,1,306,089.89,6.46%
